run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
0,apple,300,1200,float64,0.0012499750000074528,0.0036780509999516653,0.0199767290000068,0.06312014400003818,0.0880248990000041,168.0
1,apple,300,1200,float64,0.0012565339999923708,0.008643103999986579,0.020080206999978145,0.06363891500001273,0.09361875999996983,0.0
2,apple,300,1200,float64,0.001243331000011949,0.0038039180000168926,0.019536847000040325,0.06146129699999392,0.08604539300006309,168.0
3,apple,300,1200,float64,0.0012470050000388255,0.008463175000031242,0.019489862999989782,0.06231341400001611,0.09151345700007596,0.0
4,apple,300,1200,float64,0.0013369480000164913,0.0039789950000113095,0.01948610199997347,0.06399750399998538,0.08879954899998665,168.0
5,apple,300,1200,float64,0.0012972509999826798,0.004111730999966312,0.01949898499998426,0.06287235900003907,0.08778032599997232,168.0
6,apple,300,1200,float64,0.001381341000012526,0.004071100999965438,0.01955386100001988,0.06344933100001526,0.0884556340000131,168.0
7,apple,300,1200,float64,0.0011850389999494837,0.006043088000012631,0.019660821000002215,0.06300387600003887,0.0898928240000032,168.0
8,apple,300,1200,float64,0.0013158369999928254,0.003669838999996955,0.019588763000001563,0.06159562500005222,0.08617006400004357,168.0
9,apple,300,1200,float64,0.0012882780000040839,0.005322087000024567,0.019470549000004667,0.0614411680000444,0.08752208200007772,168.0
0,apple,300,1200,float32,0.00126209799998378,0.004251765999924828,0.00853689400003077,0.06192847900001652,0.0759792369999559,168.0
1,apple,300,1200,float32,0.0013808169999265374,0.007836110000084773,0.008546547000037208,0.06264778900003876,0.08041126300008727,0.0
2,apple,300,1200,float32,0.0012736090000089462,0.003871412000080454,0.008408740999925612,0.0618560630000502,0.07540982500006521,168.0
3,apple,300,1200,float32,0.0013300919999892358,0.007737107000025389,0.008512784999993528,0.06417357699990589,0.08175356099991404,0.0
4,apple,300,1200,float32,0.001393634999999449,0.0037498829999549343,0.008459493000032126,0.06127573800006303,0.07487874900004954,168.0
5,apple,300,1200,float32,0.0011916290000044683,0.0038957890000119733,0.008459826000034809,0.061437559999944824,0.07498480399999607,168.0
6,apple,300,1200,float32,0.0014820699999518183,0.003825597999934871,0.008461563999958344,0.061947906999989755,0.07571713899983479,168.0
7,apple,300,1200,float32,0.0014277049999691371,0.004926875999899494,0.008492953999962083,0.06459934700001213,0.07944688199984284,168.0
8,apple,300,1200,float32,0.001443185000084668,0.0038616100000581355,0.008632809000005182,0.06178298099996482,0.0757205850001128,168.0
9,apple,300,1200,float32,0.0013026170000784987,0.0035786079999979847,0.008523639000031835,0.06185005999998339,0.0752549240000917,168.0
0,apple,625,2500,float64,0.001452034000067215,0.004558662000022196,0.04198097299990877,0.26141834899999594,0.3094100179999941,718.0
1,apple,625,2500,float64,0.0014192930000263004,0.008433053999965523,0.043658108000045104,0.2692634249999628,0.32277387999999974,0.0
2,apple,625,2500,float64,0.0013854009999931804,0.004010175999951571,0.03549137899995003,0.2649053530000174,0.30579230899991217,718.0
