object,dtype,NumPy-vectorized (1 thread) (Colab),NumPy-vectorized (1 thread) (Kaggle),Numba (1 thread) (Colab),Numba (1 thread) (Kaggle),Numba (multithreaded) (Colab),Numba (multithreaded) (Kaggle),Numba CUDA (Colab),Numba CUDA (Kaggle),PyTorch CPU (Colab),PyTorch CPU (Kaggle),PyTorch CUDA (Colab),PyTorch CUDA (Kaggle),Serial Python (Colab),Serial Python (Kaggle),precision_FR_max_abs_err,precision_FR_max_rel_err,precision_tangent_mag_min,precision_n_points_near_cusp
apple,float32,9.271921574699808,8.858099765599945,2.567058890399494,2.7978942872000063,3.580008734499279,2.7600634092999825,1.2407125865999888,1.2006424556000184,7.390192373899117,4.2688785178000215,2.427134693500011,2.806782789600038,8.973089311599688,8.105146092399991,2.3053090902891427e-06,3.073745453718857e-07,1.0,0
apple,float64,16.905940938099594,14.71877737269997,5.803996071099027,5.307848297199962,4.504583648799962,3.3969513785999426,1.269669329099986,1.2086877178001032,14.829801586301619,8.285286103500221,4.8345977006,5.580010910800229,11.214491901600923,9.542882562399996,2.3053090902891427e-06,3.073745453718857e-07,1.0,0
banana,float32,9.813110877599684,7.646057055000005,2.124800956299441,2.2625431216999914,2.9191720702991004,2.2322770793999096,0.9810764167999878,0.97031307379998,6.078169612398415,3.4839791267000235,1.9788893498999756,2.244179440100106,7.855282800400164,6.710649897399992,1.998640382083749e-06,4.64800088856686e-07,1.0,0
banana,float64,13.624169221600459,11.869467510199978,3.750175983399822,4.204773947799913,4.935990947099344,2.667789820200005,1.0311039372000095,0.9699051688000964,11.364761110300241,6.780573855599823,3.8416021882999987,4.4752418196999315,9.302755542699742,7.7378478061000235,1.998640382083749e-06,4.64800088856686e-07,1.0,0
vase,float32,10.01820538310094,9.449605544800033,2.6372653095000715,2.818999152200104,3.5955162269008722,2.7140698208999767,1.2424382464000019,1.22070724410014,7.518568102598874,4.3078185176995705,2.465046642799939,2.7875212812004064,9.258257251699979,8.349730246700029,2.114339190839587e-06,3.523898651399312e-07,0.499999999999998,0
vase,float64,17.4779463158,15.003134699500015,4.736678405401108,5.276969189700094,4.453956261700296,3.3359814935999568,1.2785162753000237,1.2084695715001543,13.994526120898445,8.314418181200153,4.851247158899957,5.65103839350013,11.314801796399479,9.693323905299986,2.114339190839587e-06,3.523898651399312e-07,0.499999999999998,0
