run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
0,banana,300,1200,float64,0.002160703999834368,0.004201456000373582,0.002961476000109542,0.05368545400006042,0.06300909000037791,136.0
1,banana,300,1200,float64,0.0021108379996803706,0.008848518999911903,0.002998521999870718,0.05216341300001659,0.06612129199947958,0.0
2,banana,300,1200,float64,0.002149754000129178,0.005081281999991916,0.0032759340001575765,0.053105668000171136,0.0636126380004498,136.0
3,banana,300,1200,float64,0.002136947000053624,0.008600143999956344,0.0029931640001450432,0.052150023999729456,0.06588027899988447,0.0
4,banana,300,1200,float64,0.001894810000067082,0.0040513419999115285,0.0029854379999960656,0.05197381800007861,0.060905408000053285,136.0
5,banana,300,1200,float64,0.0020835069999520783,0.00398379299986118,0.002950361000330304,0.05199033600001712,0.061007997000160685,136.0
6,banana,300,1200,float64,0.0016348059998563258,0.004108633999749145,0.002976483999646007,0.05316148600013548,0.06188140999938696,136.0
7,banana,300,1200,float64,0.002062943000055384,0.0042101449998881435,0.003008224000041082,0.05286423999996259,0.0621455519999472,136.0
8,banana,300,1200,float64,0.0019249900001341302,0.004206272000374156,0.002965743000004295,0.05258052600038354,0.061677531000896124,136.0
9,banana,300,1200,float64,0.0020972500001334993,0.004109693999907904,0.0029512020000765915,0.05235828100012441,0.0615164270002424,136.0
0,banana,300,1200,float32,0.0022225420002541796,0.00412503999996261,0.0029946859999654407,0.053487522000068566,0.0628297900002508,136.0
1,banana,300,1200,float32,0.0022879769999235577,0.00872878700010915,0.003000350999627699,0.0535375340000428,0.0675546489997032,0.0
2,banana,300,1200,float32,0.0023854609999034437,0.004520097999829886,0.0030141680003907823,0.05482084400000531,0.06474057100012942,136.0
3,banana,300,1200,float32,0.0025540560000081314,0.008748042000206624,0.0030834190001769457,0.054092058000151155,0.06847757500054286,0.0
4,banana,300,1200,float32,0.002234262999991188,0.004724968000118679,0.003136434000225563,0.05401508600016314,0.06411075100049857,136.0
5,banana,300,1200,float32,0.0021952820002297813,0.005042491000040172,0.0030128270000204793,0.05355610799961141,0.06380670799990185,136.0
6,banana,300,1200,float32,0.0020789029999832564,0.004014371000266692,0.003067575999921246,0.0525541809997776,0.061715030999948794,136.0
