object,n1,n2,FR_max_abs_err,FR_mean_abs_err,FR_max_rel_err,Fz_max_abs_err,Fz_mean_abs_err,tangent_mag_median,tangent_mag_min,tangent_mag_min_at_i_j,n_points_near_cusp,frac_points_near_cusp
banana,800,3200,1.9986403820837495e-06,9.65400425541009e-08,4.6480008885668593e-07,1.068977145024519e-06,1.161017708142821e-07,1.057418963963906,1.0,"(np.int64(4), np.int64(1600))",0,0.0
apple,800,3200,2.3053090902891427e-06,1.3782255205739227e-07,3.073745453718857e-07,1.9149780268179484e-06,2.4400292038639956e-07,1.1513995245886575,1.0,"(np.int64(4), np.int64(0))",0,0.0
vase,800,3200,2.114339190839587e-06,1.430410895721413e-07,3.5238986513993115e-07,3.5392814758949953e-06,3.342253642172954e-07,1.0,0.49999999999999806,"(np.int64(1), np.int64(217))",0,0.0
