implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
NumPy-vectorized (1 thread),Kaggle,banana,1250,5000,float64,11.869467510199978,0.10696749331476109,,0.0,5951.1796875,10
NumPy-vectorized (1 thread),Kaggle,apple,300,1200,float32,0.6484129719999828,0.010810662406817245,,0.0,440.88671875,10
NumPy-vectorized (1 thread),Kaggle,apple,300,1200,float64,1.0025840664999806,0.004801270722517665,,0.0,661.5390625,10
NumPy-vectorized (1 thread),Kaggle,apple,625,2500,float32,2.37755119699998,0.019678051572123493,,0.0,1175.814453125,10
NumPy-vectorized (1 thread),Kaggle,apple,625,2500,float64,3.8662481265999986,0.026689636428613564,,0.0,2132.728515625,10
NumPy-vectorized (1 thread),Kaggle,apple,1250,5000,float32,8.858099765599945,0.030531947944820472,,0.0,4040.072265625,10
NumPy-vectorized (1 thread),Kaggle,apple,1250,5000,float64,14.71877737269997,0.04352978855290838,,0.0,7859.947265625,10
NumPy-vectorized (1 thread),Kaggle,vase,300,1200,float32,0.7085034407999956,0.011194907646644077,,0.0,441.734375,10
NumPy-vectorized (1 thread),Kaggle,vase,300,1200,float64,1.01357471849999,0.0055786005650910525,,0.0,662.421875,10
NumPy-vectorized (1 thread),Kaggle,vase,625,2500,float32,2.5580372920999936,0.01724338652249927,,0.0,1177.126953125,10
NumPy-vectorized (1 thread),Kaggle,vase,625,2500,float64,3.966986356700022,0.02242470582425849,,0.0,2133.255859375,10
NumPy-vectorized (1 thread),Kaggle,vase,1250,5000,float32,9.449605544800033,0.028512201278893565,,0.0,4041.21875,10
NumPy-vectorized (1 thread),Kaggle,vase,1250,5000,float64,15.003134699500015,0.08077783455000695,,0.0,7861.185546875,10
Numba (1 thread),Colab,banana,300,1200,float32,0.14248704749988975,0.023030627892589008,,0.0,,10
Numba (1 thread),Colab,banana,300,1200,float64,0.22455988180008718,0.004090246161350467,,0.0,,10
Numba (1 thread),Colab,banana,625,2500,float32,0.5858323523003491,0.07024301484697172,,0.0,,10
Numba (1 thread),Colab,banana,625,2500,float64,0.9561910754993732,0.07679677718356986,,0.0,,10
Numba (1 thread),Colab,banana,1250,5000,float32,2.124800956299441,0.16603240928798507,,0.0,,10
Numba (1 thread),Colab,banana,1250,5000,float64,3.750175983399822,0.2609286414640272,,0.0,,10
Numba (1 thread),Colab,apple,300,1200,float32,0.1845329653002409,0.03295779359732729,,0.0,,10
Numba (1 thread),Colab,apple,300,1200,float64,0.30946067129916627,0.03444661944116741,,0.0,,10
Numba (1 thread),Colab,apple,625,2500,float32,0.6974807652000891,0.08862363415186389,,0.0,,10
Numba (1 thread),Colab,apple,625,2500,float64,1.2575081275001139,0.20838668044700734,,0.0,,10
Numba (1 thread),Colab,apple,1250,5000,float32,2.567058890399494,0.20402504382062314,,0.0,,10
Numba (1 thread),Colab,apple,1250,5000,float64,5.803996071099027,2.863705888362913,,0.0,,10
