implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
PyTorch CUDA,Colab,vase,300,1200,float32,0.19445634029993925,0.0036588029399666076,0.013572961599970729,0.11955627769993946,262.55615234375,10
PyTorch CUDA,Colab,vase,300,1200,float64,0.38476219499998476,0.04600645477305074,0.02733385760000141,0.27932787099998674,515.02490234375,10
PyTorch CUDA,Colab,vase,625,2500,float32,0.6724613597999565,0.07005413203821098,0.054414683100003414,0.5429083127999661,1107.22314453125,10
PyTorch CUDA,Colab,vase,625,2500,float64,1.2593813596000132,0.11651522957384108,0.10878850410000493,1.0766385657000228,2205.984375,10
PyTorch CUDA,Colab,vase,1250,5000,float32,2.465046642799939,0.15977303790712763,0.22348972629997657,2.1599301619999665,4399.71435546875,10
PyTorch CUDA,Colab,vase,1250,5000,float64,4.851247158899957,0.24018293754182912,0.4733431760999679,4.281823971899996,8788.27294921875,10
PyTorch CUDA,Kaggle,banana,300,1200,float32,0.18042529260019363,0.010380871439927887,0.00610652819968887,0.12149205980022079,208.46435546875,10
PyTorch CUDA,Kaggle,banana,300,1200,float64,0.3056681902005948,0.011429737528742436,0.01023812400017045,0.2442717287002778,404.85009765625,10
PyTorch CUDA,Kaggle,banana,625,2500,float32,0.5875421318998633,0.006743488325684799,0.02333984899996715,0.5138037638000241,869.5927734375,10
PyTorch CUDA,Kaggle,banana,625,2500,float64,1.123750300300162,0.009066102244622868,0.04084201679997928,1.031572875800066,1727.9423828125,10
PyTorch CUDA,Kaggle,banana,1250,5000,float32,2.244179440100106,0.0152139817701993,0.09245745179987346,2.0857363915999487,3444.63525390625,10
PyTorch CUDA,Kaggle,banana,1250,5000,float64,4.4752418196999315,0.032742597659027046,0.17559414190000094,4.2263321264998925,6879.62548828125,10
PyTorch CUDA,Kaggle,apple,300,1200,float32,0.2115459962997192,0.003613580969325025,0.0073240580999481,0.15072981879993672,262.55517578125,10
PyTorch CUDA,Kaggle,apple,300,1200,float64,0.3676029963001383,0.002770630157908702,0.012161846399976573,0.30046632740004486,515.02392578125,10
PyTorch CUDA,Kaggle,apple,625,2500,float32,0.7343420588998015,0.009415988693598224,0.02827516019979152,0.6513330011999642,1107.22216796875,10
PyTorch CUDA,Kaggle,apple,625,2500,float64,1.4029774159003865,0.01459749687082171,0.04921766380002732,1.294740383899807,2205.9833984375,10
PyTorch CUDA,Kaggle,apple,1250,5000,float32,2.806782789600038,0.020707730267468326,0.11178293930015568,2.620785893000084,4399.71337890625,10
PyTorch CUDA,Kaggle,apple,1250,5000,float64,5.580010910800229,0.03885202779372576,0.2132065795002745,5.287600925899824,8788.27197265625,10
PyTorch CUDA,Kaggle,vase,300,1200,float32,0.2207200028000443,0.00781590417832927,0.007404153200059181,0.15288359659980405,262.55615234375,10
PyTorch CUDA,Kaggle,vase,300,1200,float64,0.37228946610048297,0.0028978534654556954,0.0124127059000784,0.29955489599988133,515.02490234375,10
PyTorch CUDA,Kaggle,vase,625,2500,float32,0.7404627508003614,0.014115818195292715,0.02880099420008258,0.6498116277001827,1107.22314453125,10
PyTorch CUDA,Kaggle,vase,625,2500,float64,1.4132187298003374,0.013624959989131616,0.05031680180018151,1.3000372757999685,2205.984375,10
PyTorch CUDA,Kaggle,vase,1250,5000,float32,2.7875212812004064,0.020286037743204085,0.11377871189997672,2.5949776247000953,4399.71435546875,10
PyTorch CUDA,Kaggle,vase,1250,5000,float64,5.65103839350013,0.07000405680385666,0.21657445610007922,5.347117297100067,8788.27294921875,10
