run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,banana,300,1200,float64,cpu,0.0001854830002230301,1.660000634728931e-07,0.014448618000187707,0.004434440000295581,0.003158930000154214,0.09874208099972748,0.25181984599976204,1.720000000204891e-07,0.37278973600041354
1,banana,300,1200,float64,cpu,0.00019898999971701414,1.5299974620575085e-07,0.015100379999694269,0.00411937399985618,0.0031290450001506542,0.09824823200005994,0.2619314570001734,3.770001058001071e-07,0.38272800799950346
2,banana,300,1200,float64,cpu,0.00022366299981513293,8.899996828404255e-08,0.014591605000077834,0.004261280999799055,0.0030591719996664324,0.10004038499982926,0.2568210139997973,1.690000317466911e-07,0.37899737799898503
3,banana,300,1200,float64,cpu,0.0002258760000586335,1.0599978850223124e-07,0.01793931900010648,0.003996961999746418,0.0031717900001240196,0.09885401499968793,0.27042081700028575,1.2900000001536682e-07,0.39460901399979775
4,banana,300,1200,float64,cpu,0.0002804800001285912,1.0400026440038346e-07,0.017324464000012085,0.003879385999880469,0.003155878000143275,0.09919887299975017,0.2527186550000806,1.599996721779462e-07,0.3765579999999318
5,banana,300,1200,float64,cpu,0.00019261299985373626,8.999995770864189e-08,0.015382997999950021,0.0040480560001014965,0.0032268769996335323,0.09920129200008887,0.25524007000012716,1.7999991541728377e-07,0.37729217599962794
6,banana,300,1200,float64,cpu,0.0002093539997076732,8.999995770864189e-08,0.014208709000286035,0.003946417999941332,0.0038648269996883755,0.10047404700026163,0.2510695660002966,1.6099966160254553e-07,0.373773171999801
7,banana,300,1200,float64,cpu,0.0001970370003618882,1.1600013749557547e-07,0.01427621699986048,0.004075484000168217,0.003221522999865556,0.09828420099984214,0.24905351999996128,1.580001480760984e-07,0.36910825600034514
8,banana,300,1200,float64,cpu,0.00020143199981248472,8.799997885944322e-08,0.018555892999756907,0.004361768000308075,0.0035262920000604936,0.09894695999992109,0.28788946299982854,9.099994713324122e-08,0.4134819869996136
9,banana,300,1200,float64,cpu,0.0002533309998398181,1.4399984138435684e-07,0.020722601000215946,0.005099999999856664,0.004213725999761664,0.10886276500013992,0.25360715600027106,2.64999926002929e-07,0.39275998799985246
0,banana,300,1200,float32,cpu,0.00017630699994697352,9.500035957898945e-08,0.016691739999714628,0.004132867999942391,0.0031035080000947346,0.05101273299987952,0.14428307099979065,1.839998731156811e-07,0.2194005059996016
1,banana,300,1200,float32,cpu,0.00020362599980217055,9.500035957898945e-08,0.014821183000094607,0.004341106000083528,0.0030006950000824872,0.05002127499983544,0.13688181700035784,1.8500031728763133e-07,0.20926998200093294
2,banana,300,1200,float32,cpu,0.00017065399970306316,1.019998308038339e-07,0.014575342000171077,0.003849214000183565,0.0030876099999659345,0.049664139000014984,0.13685422899970945,1.90000264410628e-07,0.2082014799998433
