run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,banana,300,1200,float64,cpu,0.0002546089999668766,1.81000359589234e-07,0.017262138000660343,0.004003111000201898,0.0033731729999999516,0.13694779999786988,0.4545012319977104,2.6399720809422433e-07,0.616342507993977
1,banana,300,1200,float64,cpu,0.00022816799901193008,2.710003172978759e-07,0.017280271000345238,0.003999720000138041,0.0033500249992357567,0.13729449099992053,0.4833334780014411,9.29001544136554e-07,0.645487353001954
2,banana,300,1200,float64,cpu,0.00022175299818627536,1.0299845598638058e-07,0.016679145002854057,0.004186913996818475,0.0035315599998284597,0.15086945200164337,0.5690819600022223,2.47997377300635e-07,0.7445711349973863
3,banana,300,1200,float64,cpu,0.00028221799948369153,1.9700019038282335e-07,0.02742323100028443,0.0057760479976423085,0.00516852500004461,0.18300996900143218,0.5822785970012774,2.1899904822930694e-07,0.8039390039994032
4,banana,300,1200,float64,cpu,0.00026658700153348036,1.5499972505494952e-07,0.025392483999894466,0.006331885000690818,0.0056759510007395875,0.1754500659990299,0.569372245001432,2.5999906938523054e-07,0.7824896330021147
5,banana,300,1200,float64,cpu,0.00022445300055551343,1.0899748303927481e-07,0.016131469998072134,0.0042478360010136385,0.003670538000733359,0.14214977099982207,0.4530331109999679,1.9299841369502246e-07,0.6194574809960613
6,banana,300,1200,float64,cpu,0.0002504330004740041,1.1999873095192015e-07,0.02068500600216794,0.004254252999089658,0.003623141998104984,0.13747969399992144,0.47952273299961234,1.7999991541728377e-07,0.6458155609980167
7,banana,300,1200,float64,cpu,0.00023000099827186204,1.2300006346777081e-07,0.015052760998514714,0.004019374999188585,0.00391203300023335,0.13395275600123568,0.4686271709979337,4.1000021155923605e-07,0.6257946299956529
8,banana,300,1200,float64,cpu,0.00022824200277682394,1.7600177670828998e-07,0.015148679998674197,0.0040215330009232275,0.0034724659999483265,0.13597962999847368,0.45764734300246346,2.090018824674189e-07,0.6164982790069189
9,banana,300,1200,float64,cpu,0.0002241709989903029,1.00000761449337e-07,0.021029444000305375,0.004006628001661738,0.0035984800015285145,0.14386806599941337,0.5053971089982952,1.9800063455477357e-07,0.6781241960015905
0,banana,300,1200,float32,cpu,0.00020104999930481426,1.0800067684613168e-07,0.015036379998491611,0.004317020000598859,0.0038389649998862296,0.050242205998074496,0.2561373669996101,2.5700137484818697e-07,0.3297733529980178
