platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Colab,banana,float32,2500,Numba,CPU,1.100644384,0.660735787,0.001343486,0.000608667,0.004922999,0.001849809,1.072324773,0.648325975,2.652359976971454
Colab,banana,float32,2500,Numba,GPU,0.04761133,0.002330199,0.000824558,2.13e-05,0.00365486,0.000544469,0.025202862,0.000480293,61.315344750923785
Colab,banana,float32,2500,Python,CPU,2.919305113,0.998177701,0.315013824,0.077104642,0.86615637,0.068039528,1.721651543,0.962963905,1.0
Colab,banana,float32,2500,TensorV,CPU,1.459031747,0.184330782,0.024743055,0.00772146,0.006390476,0.002040896,1.110006454,0.144485785,2.0008509883369934
Colab,banana,float32,2500,TensorV,GPU,0.053814793,0.005042025,0.036920599,0.004545843,0.004552763,0.000106167,0.002392672,0.000251875,54.247260841456736
Colab,banana,float32,5000,Numba,CPU,3.133439734,0.581476113,0.001502109,0.000354322,0.008555645,0.00137943,3.090532125,0.582304171,2.3652587023076284
Colab,banana,float32,5000,Numba,GPU,0.164597364,0.018680957,0.001503228,0.000794641,0.011616363,0.004470578,0.105852838,0.004049806,45.027425828034524
Colab,banana,float32,5000,Python,CPU,7.411395599,0.594564577,0.839750231,0.521231654,1.843560724,0.271085039,4.693084754,0.533888026,1.0
Colab,banana,float32,5000,TensorV,CPU,6.079515151,0.499637612,0.023863265,0.004449515,0.007266881,0.000632791,4.886398709,0.479655868,1.2190767544646917
Colab,banana,float32,5000,TensorV,GPU,0.078552533,0.025510569,0.047298758,0.011114009,0.009839232,0.007180552,0.003710829,0.00163543,94.349543114033
Colab,banana,float64,1200,Numba,CPU,0.493516815,0.243191464,0.001204805,0.000361561,0.00403646,0.002418881,0.470200662,0.230671836,2.771701497141491
Colab,banana,float64,1200,Numba,GPU,0.116986977,0.25157886,0.000772693,7.21e-05,0.002278075,0.000261014,0.097899498,0.253477067,11.69259459537962
Colab,banana,float64,1200,Python,CPU,1.367881295,0.336508509,0.166464658,0.059714418,0.482319534,0.152104647,0.706336334,0.189825072,1.0
Colab,banana,float64,1200,TensorV,CPU,0.709723938,0.106975342,0.031124721,0.022206289,0.008740156,0.011791304,0.490288925,0.051775443,1.9273427621092867
Colab,banana,float64,1200,TensorV,GPU,0.052454119,0.002392204,0.035672034,0.001767891,0.004649052,0.000393652,0.00233655,0.000435333,26.07767170772614
Colab,banana,float64,2500,Numba,CPU,1.021491554,0.203157291,0.001248843,0.000111442,0.004114269,9.29e-05,0.999911108,0.198731581,3.7164783488753153
Colab,banana,float64,2500,Numba,GPU,0.07753482,0.013651265,0.001789436,0.001261868,0.006986675,0.00194056,0.037696646,0.012662112,48.963178659600935
Colab,banana,float64,2500,Python,CPU,3.796351244,0.96874651,0.359560496,0.152015691,0.928590737,0.206348322,2.490680249,0.947841227,1.0
Colab,banana,float64,2500,TensorV,CPU,2.921494714,0.372665805,0.022285329,0.004124698,0.005854494,0.001598909,2.303381944,0.36403858,1.299455113099342
Colab,banana,float64,2500,TensorV,GPU,0.064895259,0.011284202,0.044526711,0.008314088,0.006415318,0.001253903,0.002755372,0.000529151,58.499670122281195
Colab,banana,float64,5000,Numba,CPU,5.641754815,1.860299483,0.002362248,0.001211718,0.013332808,0.007465199,5.568457422,1.852758267,1.6137467811954178
Colab,banana,float64,5000,Numba,GPU,0.17570532,0.005666458,0.001024411,3.31e-05,0.007624943,0.001356207,0.13563316,0.000440688,51.81609568224798
Colab,banana,float64,5000,Python,CPU,9.104363673,1.158266796,0.658122954,0.213347676,1.967252816,0.710300641,6.447393832,1.084043569,1.0
Colab,banana,float64,5000,TensorV,CPU,11.83566726,1.287967409,0.026782458,0.006955115,0.011481501,0.00297057,9.244308455,1.149141551,0.7692311276584503
Colab,banana,float64,5000,TensorV,GPU,0.0673051,0.013906902,0.042897374,0.008405095,0.006644605,0.00155165,0.003860168,0.000762959,135.27004154217138
Colab,vase,float32,1200,Numba,CPU,0.343016745,0.118565433,0.001484917,0.000578979,0.003025206,0.001486637,0.326102352,0.112389754,4.137182909248351
Colab,vase,float32,1200,Numba,GPU,0.03714316,0.002272183,0.002293467,0.001229871,0.004774257,0.000887451,0.009262374,0.00058891,38.206846563404945
Colab,vase,float32,1200,Python,CPU,1.419123015,0.273204794,0.201423764,0.046727256,0.54933959,0.098880327,0.65683831,0.135498782,1.0
Colab,vase,float32,1200,TensorV,CPU,0.448157245,0.072986393,0.027665223,0.007681767,0.004678871,0.002029707,0.319007602,0.050198232,3.166573855120874
Colab,vase,float32,1200,TensorV,GPU,0.084793734,0.007897066,0.061634359,0.006703349,0.006039472,0.000510514,0.00321275,0.00058768,16.736177876068062
Colab,vase,float32,2500,Numba,CPU,1.320348791,0.596115482,0.001649292,0.000421264,0.006251872,0.002668214,1.287697787,0.586329766,2.9485684188428967
Colab,vase,float32,2500,Numba,GPU,0.059182674,0.003118801,0.001203133,0.000504923,0.003871292,0.000233985,0.031597425,0.000624303,65.78173110258587
Colab,vase,float32,2500,Python,CPU,3.893138747,0.940635019,0.39272211,0.055338723,1.345893071,0.711513057,2.135457202,0.474104426,1.0
